Month bomb,Month temp,Month Drone,Date temp,Year temp,Country,Date Bomb,Year Bomb,Blast Day Type,Holiday Type,Time,City,Province,Location Category,Location Sensitivity,Open/Closed Space,Target Type,Targeted Sect if any,Explosive Weight (max),Date,Year Drone,Province-1,S#,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,S#-1,No of Strike,Total Died Max,Longitude,Latitude,Temperature(C)-1,AverageTemperature,AverageTemperatureUncertainty
2,2,2,01/02/2008,2008,Pakistan,09/02/2008,2008,Working Day,,NA,Charsadda,KPK,Residence,Low,Closed,Government Official,None,NA,28/02/2008,2008,FATA,92,25,27,35,51,1,12,1,13,69.9,33.0333,15.575,10.867,0.129
6,6,6,01/06/2012,2012,Pakistan,12/06/2012,2012,Working Day,,,Peshawar,KPK,Mobile,Low,Open,Anti-Militants,None,8Kg,13/06/2012,2012,FATA,352,2,3,,5,1,302,1,4,70.1455,32.9746,20.78,30.249,0.228
1,1,1,01/01/2010,2010,Pakistan,29/01/2010,2010,Working Day,,NA,Bajaur Agency,FATA,Military,High,Open,Military,None,NA,29/01/2010,2010,FATA,242,16,17,26,47,1,106,3,15,70.1455,32.9746,1.82,10.956,0.356
9,9,9,01/09/2009,2009,Pakistan,12/09/2009,2009,Working Day,,5 min befor aftar,Hangu,KPK,Police,High,Closed,Police,None,NA,08/09/2009,2009,FATA,196,,,2,4,1,77,1,8,69.9,33.0333,21.295,27.295,0.167
10,10,10,01/05/2010,2010,Pakistan,02/05/2010,2010,Holiday,Weekend,NA,Bajaur Agency,FATA,Military,High,Open,Military,None,NA,11/05/2010,2010,FATA,526,,0,,0,2,261,2,29,140.291,65.9492,37.96,58.376,0.366
4,4,4,01/04/2010,2010,Pakistan,05/04/2010,2010,Working Day,,NA,Peshawar,KPK,Foreign,High,Open,foreigner,Christian,NA,16/04/2010,2010,FATA,255,6,8,,0,1,125,1,6,70.1455,32.9746,19.385,25.855,0.218
12,12,12,01/12/2009,2009,Pakistan,07/12/2009,2009,Working Day,,8.42 pm,Lahore,Punjab,Market,Low,Open,Civilian,None,NA,26/12/2009,2009,FATA,227,38,45,100,135,2,95,1,13,70.1455,32.9746,3.46,11.959,0.179
7,7,7,01/07/2011,2011,Pakistan,21/07/2011,2011,Working Day,,,South waziristan,FATA,Mobile,Low,Open,Foreigner,NA,,05/07/2011,2011,FATA,322,,,,2,1,250,1,4,70.1455,32.9746,24.455,30.039,0.169
11,11,11,01/11/2012,2012,Pakistan,21/11/2012,2012,Working Day,,,Rawalpindi,Punjab,Religious,High,Open,Religious,Shiite,NA,29/11/2012,2012,FATA,363,12,20,25,40,1,324,1,4,70.1455,32.9746,5.07,16.909,0.36
10,10,10,01/10/2009,2009,Pakistan,09/10/2009,2009,Working Day,,12.15 PM,Peshawar,KPK,Market,Low,Open,Civilian,None,100Kg,15/10/2009,2009,FATA,205,48,50,148,187,1,84,1,10,70.1455,32.9746,14.825,22.055,0.179
12,12,12,01/12/2010,2010,Pakistan,07/12/2010,2010,Working Day,,NA,Quetta,Baluchistan,Transport,Low,Open,Government Official,None,NA,14/12/2010,2010,FATA,286,,,10,12,1,200,1,4,70.1455,32.9746,7.24,10.46,0.236
11,11,11,01/11/2008,2008,Pakistan,12/11/2008,2008,Working Day,,10:00:00 AM,Charsadda,KPK,Military,High,Closed,Military,None,NA,14/11/2008,2008,FATA,137,,7,10,12,1,38,1,13,70.1455,32.9746,8.815,16.505,0.205
11,11,11,01/11/2008,2008,Pakistan,20/11/2008,2008,Working Day,,during maghrib prayer,Bajaur Agency,FATA,Religious,Medium,Closed,Religious,Sunni,,07/11/2008,2008,FATA,139,,9,,,1,37,4,16,70.1455,32.9746,16.685,16.505,0.205
6,6,6,01/03/2010,2010,Pakistan,08/03/2010,2010,Working Day,,8:20:00 AM,Lahore,Punjab,Office Building,High,Open,Military,None,600Kg,17/03/2010,2010,FATA,500,26,28,160,200,2,235,2,18,140.291,65.9492,33.48,42.688,0.73
1,1,1,01/01/2010,2010,Pakistan,23/01/2010,2010,Working Day,,NA,Tank,KPK,Police,High,Open,Police,None,NA,17/01/2010,2010,FATA,241,4,5,3,11,1,104,1,20,69.9,33.0333,5.57,10.956,0.356
6,6,6,01/06/2011,2011,Pakistan,12/06/2011,2011,Holiday,Weekend,11:45 PM,Peshawar,KPK,Market,Low,Open,Civilian,None,10 Kg,03/06/2011,2011,FATA,318,32,35,80,107,1,239,1,5,69.9,33.0333,20.72,31.228,0.31
7,7,7,01/07/2010,2010,Pakistan,09/07/2010,2010,Working Day,,NA,Mohmand Agency,FATA,Park/Ground,Low,Open,Government Official,None,NA,15/07/2010,2010,FATA,266,65,80,104,110,2,141,2,7,70.1455,32.9746,25.66,29.965,0.175
12,12,12,01/12/2008,2008,Pakistan,09/12/2008,2008,Working Day,,NA,Buner,KPK,Park/Ground,Low,Open,Government Official,None,NA,05/12/2008,2008,FATA,144,,1,,4,1,42,1,6,70.1455,32.9746,12.465,12.283,0.177
12,12,12,01/12/2010,2010,Pakistan,27/12/2010,2010,Working Day,,Evening,Muzaffarabad,AJK,Park/Ground,Medium,Open,religious,Shiite,NA,14/12/2010,2010,FATA,292,,7,,65,1,200,1,4,70.1455,32.9746,7.24,10.46,0.236
1,1,1,01/01/2010,2010,Pakistan,16/01/2010,2010,Working Day,,10:00:00 AM/10:15 AM,Poonch,AJK,Mobile,High,Open,Police,None,600 kg,29/01/2010,2010,FATA,240,,1,1,2,1,106,3,15,70.1455,32.9746,1.82,10.956,0.356
3,3,3,01/03/2009,2009,Pakistan,02/03/2009,2009,Working Day,,NA,Pishin,Baluchistan,Educational,Low,Closed,Government Official,Sunni,NA,25/03/2009,2009,FATA,156,5,6,5,12,1,55,1,8,69.9,33.0333,12.34,18.871,0.199
9,9,9,01/09/2010,2010,Pakistan,01/09/2010,2010,Working Day,,6:55pm/7:00pm/7:10pm,Lahore,Punjab,Park/Ground,Low,Open,Religious,Shiite,NA,19/09/2010,2010,FATA,272,27,43,150,243,3,163,1,5,70.1455,32.9746,16.995,26.11,0.208
3,3,3,01/03/2010,2010,Pakistan,08/03/2010,2010,Working Day,,8:20:00 AM,Lahore,Punjab,Office Building,High,Open,Military,None,600Kg,23/03/2010,2010,FATA,250,13,14,80,100,1,120,1,6,70.1455,32.9746,16.27,21.344,0.365
9,9,9,01/09/2010,2010,Pakistan,01/09/2010,2010,Working Day,,6:55pm/7:00pm/7:10pm,Lahore,Punjab,Park/Ground,Low,Open,Religious,Shiite,NA,25/09/2010,2010,FATA,272,27,43,150,243,3,168,1,4,70.1455,32.9746,19.375,26.11,0.208
6,6,6,01/06/2009,2009,Pakistan,30/06/2009,2009,Working Day,,NA,Khyber Agency,FATA,Foreign,High,Open,foreigner,Sunni,NA,23/06/2009,2009,FATA,182,1,4,10,11,1,67,1,50,69.9,33.0333,21.67,29.773,0.304
7,7,7,01/07/2009,2009,Pakistan,02/07/2009,2009,Working Day,,4:30pm,Rawalpindi,Punjab,Mobile,High,Open,Government official,None,10Kg,08/07/2009,2009,FATA,184,,1,25,40,1,70,1,60,69.9,33.0333,26.815,30.551,0.263
12,12,12,01/12/2009,2009,Pakistan,04/12/2009,2009,Working Day,,During Friday prayer,Rawalpindi,Punjab,Religious,Medium,Closed,Military,None,NA,17/12/2009,2009,FATA,225,36,40,75,83,1,92,1,2,70.1455,32.9746,3.53,11.959,0.179
11,11,11,01/11/2008,2008,Pakistan,02/11/2008,2008,Holiday,Weekend,9:00 AM,South Waziristan,FATA,Military,High,Open,Military,None,,07/11/2008,2008,FATA,132,,8,,8,1,37,4,16,70.1455,32.9746,16.685,16.505,0.205
5,5,5,01/05/2011,2011,Pakistan,26/05/2011,2011,Working Day,,6:00 PM,Hangu,KPK,Police,High,Open,Police,None,450kg,10/05/2011,2011,FATA,315,28,32,55,60,1,232,1,5,69.9,33.0333,21.745,29.616,0.195
6,6,6,01/06/2011,2011,Pakistan,05/06/2011,2011,Holiday,Weekend,8:45 PM,Nowshehra,KPK,Military,High,Closed,Military,None,8Kg,20/06/2011,2011,FATA,317,18,19,28,45,1,247,1,12,69.9667,33.8167,27.95,31.228,0.31
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,peshawar,KPK,Police,High,Open,Police,None,NA,08/01/2010,2010,FATA,239,,0,,6,1,100,1,10,70.1455,32.9746,4.175,10.956,0.356
3,3,3,01/03/2011,2011,Pakistan,01/03/2011,2011,Working Day,,Night,Karachi,Sindh,Park/Ground,Low,Open,civilian,None,,14/03/2011,2011,FATA,301,,0,,0,1,226,1,5,70.1455,32.9746,15.48,18.579,0.211
9,9,9,01/09/2011,2011,Pakistan,07/09/2011,2011,Working Day,,,Quetta,Baluchistan,Military,High,Closed,Military,NA,100kg,23/09/2011,2011,FATA,329,26,28,60,82,2,263,1,5,70.1455,32.9746,18.985,26.366,0.103
1,1,1,01/01/2010,2010,Pakistan,01/01/2010,2010,Working Day,,5:00:00 PM,Lakki marwat,KPK,Park/Ground,Medium,Open,Civilian,None,250 kg,14/01/2010,2010,FATA,236,88,100,37,100,1,102,1,15,69.9,33.0333,3.43,10.956,0.356
6,6,6,01/06/2009,2009,Pakistan,06/06/2009,2009,Working Day,,8:35 PM,Islamabad,Capital,Police,High,Closed,Police,None,NA,14/06/2009,2009,FATA,175,2,2,4,5,1,65,1,5,69.9,33.0333,18.075,29.773,0.304
4,4,4,01/04/2009,2009,Pakistan,04/04/2009,2009,Working Day,,,North waziristan,FATA,Mobile,High,Open,Military,None,NA,04/04/2009,2009,FATA,164,,8,,39,1,58,2,13,70.1455,32.9746,15.57,22.792,0.216
3,3,3,01/03/2009,2009,Pakistan,26/03/2009,2009,Working Day,,8:30:00 AM,Tank,KPK,Market,Low,Open,Anti-Militants,Sunni,NA,12/03/2009,2009,FATA,160,7,15,,25,1,53,1,25,69.9667,33.8167,14.8,18.871,0.199
6,6,6,01/06/2012,2012,Pakistan,12/06/2012,2012,Working Day,,,Peshawar,KPK,Mobile,Low,Open,Anti-Militants,None,8Kg,14/06/2012,2012,FATA,352,2,3,,5,1,303,2,4,70.1455,32.9746,22.495,30.249,0.228
10,10,10,01/05/2010,2010,Pakistan,28/05/2010,2010,Working Day,,NA,Lahore,Punjab,Religious,Medium,Closed,Civilian,Ahmedi,NA,11/05/2010,2010,FATA,528,160,190,184,400,2,261,2,29,140.291,65.9492,37.96,58.376,0.366
3,3,3,01/03/2009,2009,Pakistan,26/03/2009,2009,Working Day,,8:30:00 AM,Tank,KPK,Market,Low,Open,Anti-Militants,Sunni,NA,26/03/2009,2009,FATA,160,7,15,,25,1,56,1,5,70.1455,32.9746,13,18.871,0.199
5,5,5,01/05/2011,2011,Pakistan,13/05/2011,2011,Working Day,,6:00 AM,Charsadda,KPK,Military,High,Open,Military,None,16-20kg,20/05/2011,2011,FATA,312,82,95,128,140,2,237,1,6,70.1455,32.9746,24.59,29.616,0.195
9,9,9,01/09/2011,2011,Pakistan,19/09/2011,2011,Working Day,,7:30 AM,karachi,Sindh,Police,High,Open,Police,NA,300kg,23/09/2011,2011,FATA,331,,8,4,7,1,263,1,5,70.1455,32.9746,18.985,26.366,0.103
6,6,6,01/06/2012,2012,Pakistan,28/06/2012,2012,Working Day,,,Quetta,Baluchistan,Mobile,Low,Open,Religious,Shiite,50kg,04/06/2012,2012,FATA,353,13,14,20,30,1,301,1,15,70.1455,32.9746,24.5,30.249,0.228
9,9,9,01/09/2012,2012,Pakistan,03/09/2012,2012,Working Day,,,Peshawar,KPK,foreign,Low,Open,Foreigner,None,100-110kg,24/09/2012,2012,FATA,355,0,2,18,21,1,319,2,6,70.1455,32.9746,19.07,26.238,0.228
1,1,1,01/01/2010,2010,Pakistan,01/01/2010,2010,Working Day,,5:00:00 PM,Lakki marwat,KPK,Park/Ground,Medium,Open,Civilian,None,250 kg,09/01/2010,2010,FATA,236,88,100,37,100,1,101,1,4,70.1455,32.9746,3.58,10.956,0.356
5,5,5,01/05/2009,2009,Pakistan,28/05/2009,2009,Working Day,,5:40pm,Peshawar,KPK,Police,High,Open,Police,None,5kg,09/05/2009,2009,FATA,172,3,5,3,9,1,62,1,10,69.9,33.0333,18.865,28.991,0.189
9,9,9,01/09/2010,2010,Pakistan,03/09/2010,2010,Working Day,,NA,Mardan,KPK,Religious,Medium,Closed,Religious,None,NA,19/09/2010,2010,FATA,274,,1,,4,1,163,1,5,70.1455,32.9746,16.995,26.11,0.208
3,3,3,01/03/2009,2009,Pakistan,27/03/2009,2009,Working Day,,NA,Khyber Agency,FATA,Religious,Medium,Closed,Religious,Sunni,NA,01/03/2009,2009,FATA,161,70,76,100,175,1,52,2,12,69.9,33.0333,14.21,18.871,0.199
6,6,6,01/06/2012,2012,Pakistan,28/06/2012,2012,Working Day,,,Quetta,Baluchistan,Mobile,Low,Open,Religious,Shiite,50kg,13/06/2012,2012,FATA,353,13,14,20,30,1,302,1,4,70.1455,32.9746,20.78,30.249,0.228
4,4,4,01/04/2013,2013,Pakistan,16/04/2013,2013,Working Day,,,Peshawar,KPK,Market,High,Open,Civilian,None,6kg,17/04/2013,2013,FATA,378,16,18,49,60,1,339,2,5,69.9,33.0333,16.305,22.958,0.356
12,12,12,01/12/2012,2012,Pakistan,04/12/2012,2012,Working Day,,,Peshawar,KPK,Police,High,Open,Police,None,600kg-800kg,28/12/2012,2012,FATA,366,,,6,10,1,329,8,7,70.1455,32.9746,-3.165,11.541,0.208
10,10,10,01/10/2010,2010,Pakistan,18/10/2010,2010,Working Day,,NA,Lakki marwat,KPK,Park/Ground,Low,Open,civilian,None,1200Kg,10/10/2010,2010,FATA,278,,,5,14,1,178,1,8,70.1455,32.9746,17.995,23.43,0.249
1,1,1,01/01/2010,2010,Pakistan,23/01/2010,2010,Working Day,,NA,Tank,KPK,Police,High,Open,Police,None,NA,01/01/2010,2010,FATA,241,4,5,3,11,1,97,2,2,70.1455,32.9746,4.855,10.956,0.356
10,10,10,01/10/2008,2008,Pakistan,09/10/2008,2008,Working Day,,12:45:00 PM,Islamabad,Capital,Police,High,Closed,Police,None,60Kg,09/10/2008,2008,FATA,125,,,6,12,1,30,1,9,70.1455,32.9746,19.255,23.498,0.211
5,5,5,01/05/2011,2011,Pakistan,13/05/2011,2011,Working Day,,6:00 AM,Charsadda,KPK,Military,High,Open,Military,None,16-20kg,12/05/2011,2011,FATA,312,82,95,128,140,2,233,1,8,70.1455,32.9746,21.975,29.616,0.195
1,1,1,01/01/2011,2011,Pakistan,25/01/2011,2011,Working Day,,Evening,Lahore,Punjab,Police,High,Open,Religious,Shiite,5Kg,12/01/2011,2011,FATA,294,11,17,71,80,1,210,1,4,70.1455,32.9746,5.12,9.166,0.254
11,11,11,01/11/2009,2009,Pakistan,08/11/2009,2009,Holiday,Weekend,9.30 AM,Peshawar,KPK,Market,Low,Open,Government Official,None,10 Kg,18/11/2009,2009,FATA,215,12,19,35,45,1,88,1,5,70.1455,32.9746,5.025,16.174,0.304
2,2,2,01/02/2012,2012,Pakistan,24/02/2012,2012,Working Day,,,Peshawar,KPK,Police,High,Closed,Police,None,NA,09/02/2012,2012,FATA,344,0,4,,6,3,285,1,4,70.1455,32.9746,-1.61,10.312,0.164
4,4,4,01/04/2009,2009,Pakistan,05/04/2009,2009,Holiday,Weekend,12:30:00 PM,Chakwal,Punjab,Religious,Medium,Closed,Religious,Shiite,NA,29/04/2009,2009,FATA,165,22,27,40,60,1,61,1,10,69.9,33.0333,23.6,22.792,0.216
12,12,12,01/12/2007,2007,Pakistan,09/12/2007,2007,Holiday,Weekend,11:15:00 AM/12:30 PM,Swat,KPK,Police,High,Open,Police,None,10 to 15 kg,03/12/2007,2007,KPK,77,10,13,,2,1,10,1,,70.6042,32.9861,13.79,10.806,0.181
12,12,12,01/12/2008,2008,Pakistan,28/12/2008,2008,Holiday,Weekend,10:30:00 AM,Buner,KPK,Government,High,Open,Government official,None,,15/12/2008,2008,FATA,145,34,37,,16,,44,1,2,70.1455,32.9746,7.655,12.283,0.177
2,2,2,01/02/2010,2010,Pakistan,22/02/2010,2010,Working Day,,4:20:00 AM,Swat,KPK,Mobile,High,Open,Military,None,NA,14/02/2010,2010,FATA,247,7,13,37,41,1,108,1,7,70.1455,32.9746,3.185,13.167,0.203
4,4,4,01/04/2011,2011,Pakistan,23/04/2011,2011,Working Day,,,Bajaur Agency,FATA,Mobile,Low,Open,Anti-Militants,Sunni,,22/04/2011,2011,FATA,311,,5,5,8,1,230,1,25,70.1455,32.9746,17.75,22.867,0.252
10,10,10,01/10/2008,2008,Pakistan,29/10/2008,2008,Working Day,,2:15:00 PM,Bannu,KPK,Military,High,Open,Military,None,NA,23/10/2008,2008,FATA,130,,,,14,1,33,1,11,70.1455,32.9746,16.47,23.498,0.211
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,Khyber Agency,KPK,Religious,low,Open,Religious,None,NA,17/01/2010,2010,FATA,238,,8,,11,1,104,1,20,69.9,33.0333,5.57,10.956,0.356
4,4,4,01/04/2010,2010,Pakistan,16/04/2010,2010,Working Day,,,Quetta,Baluchistan,Hospital,Low,Closed,Government Official,Shiite,15 kg,24/04/2010,2010,FATA,257,,11,35,40,1,126,1,9,70.1455,32.9746,18.235,25.855,0.218
2,2,2,01/02/2011,2011,Pakistan,12/02/2011,2011,Working Day,,Saturday Morning,Malakand,KPK,Residence,Low,Closed,Military,None,NA,20/02/2011,2011,FATA,299,1,3,,,1,215,1,6,69.9,33.0333,1.835,12.378,0.152
9,9,9,01/09/2011,2011,Pakistan,07/09/2011,2011,Working Day,,,Quetta,Baluchistan,Military,High,Closed,Military,NA,100kg,30/09/2011,2011,FATA,329,26,28,60,82,2,265,1,4,69.9,33.0333,19.91,26.366,0.103
3,3,3,01/03/2009,2009,Pakistan,27/03/2009,2009,Working Day,,NA,Khyber Agency,FATA,Religious,Medium,Closed,Religious,Sunni,NA,12/03/2009,2009,FATA,161,70,76,100,175,1,53,1,25,69.9667,33.8167,14.8,18.871,0.199
5,5,5,01/05/2010,2010,Pakistan,01/05/2010,2010,Holiday,Labour Day,NA,Swat,KPK,Market,Low,Open,Civilian,None,15 kg,21/05/2010,2010,FATA,262,3,7,9,16,1,133,1,10,70.1455,32.9746,23.385,29.188,0.183
5,5,5,01/05/2008,2008,Pakistan,18/05/2008,2008,Holiday,Weekend,8:00:00 PM,Mardan,KPK,Military,High,Closed,Military,None,NA,14/05/2008,2008,FATA,108,11,13,23,25,1,15,2,20,71.5,34.6833,27.24,28.656,0.268
3,3,3,01/01/2011,2011,Pakistan,12/01/2011,2011,Working Day,,Evening,Bannu,KPK,Religious,Medium,Closed,civilian,Sunni,1000 kg,01/01/2011,2011,FATA,879,54,60,45,60,3,621,3,25,210.4365,98.9238,14.07,27.498,0.762
8,8,8,01/08/2009,2009,Pakistan,23/08/2009,2009,Holiday,Weekend,,Peshawar,KPK,Residence,Low,open,Anti-Militants,Sunni,12Kg,11/08/2009,2009,FATA,193,,3,,15,1,74,1,14,69.9,33.0333,25.44,29.891,0.208
11,11,11,01/11/2008,2008,Pakistan,11/11/2008,2008,Working Day,,NA,Peshawar,KPK,Park/Ground,Low,Open,Government Official,None,7 or 8Kg,07/11/2008,2008,FATA,136,3,4,13,20,1,37,4,16,70.1455,32.9746,16.685,16.505,0.205
9,9,9,01/09/2010,2010,Pakistan,01/09/2010,2010,Working Day,,6:55pm/7:00pm/7:10pm,Lahore,Punjab,Park/Ground,Low,Open,Religious,Shiite,NA,20/09/2010,2010,FATA,272,27,43,150,243,3,164,1,9,70.1455,32.9746,18.38,26.11,0.208
6,6,6,01/06/2011,2011,Pakistan,13/06/2011,2011,Working Day,,3:00 PM,Islamabad,Capital,Bank,Low,Open,Civilian,None,7kg,03/06/2011,2011,FATA,319,1,2,4,6,1,239,1,5,69.9,33.0333,20.72,31.228,0.31
11,11,11,01/11/2010,2010,Pakistan,11/11/2010,2010,Working Day,,NA,Poonch,AJK,Mobile,Low,open,Military,,NA,28/11/2010,2010,FATA,282,,0,,2,1,197,1,4,70.1455,32.9746,6.815,16.519,0.096
2,2,2,01/02/2010,2010,Pakistan,11/02/2010,2010,Working Day,,Maghrib prayers,Bannu,KPK,Police,High,Open,Police,None,NA,17/02/2010,2010,FATA,244,,15,25,30,2,110,1,4,70.1455,32.9746,0.68,13.167,0.203
2,2,2,01/02/2013,2013,Pakistan,18/02/2013,2013,Working Day,,,Peshawar,KPK,Office Building,High,Closed,Government Official,None,6kg,06/02/2013,2013,FATA,374,5,,7,,2,335,4,5,70.1455,32.9746,2.08,11.951,0.483
9,9,9,01/09/2010,2010,Pakistan,09/09/2010,2010,Working Day,,12:30:00 PM,Quetta,Baluchistan,Residence,Medium,Open,Government Official,None,15 kg,06/09/2010,2010,FATA,276,2,5,3,6,1,153,1,5,70.1455,32.9746,23.825,26.11,0.208
11,11,11,01/11/2007,2007,Pakistan,01/11/2007,2007,Working Day,,7:10:00 AM,Sargodha,Punjab,Mobile,High,Open,Military,None,10 kg,02/11/2007,2007,FATA,72,8,10,27,40,1,9,1,10,70.1455,32.9746,15.325,17.667,0.246
12,12,12,01/06/2011,2011,Pakistan,25/06/2011,2011,Working Day,,,D.I Khan,KPK,Police,High,Closed,Police,None,,27/06/2011,2011,FATA,640,,20,6,10,2,497,2,22,140.0455,66.0079,53.91,62.456,0.62
6,6,6,01/06/2012,2012,Pakistan,12/06/2012,2012,Working Day,,,Peshawar,KPK,Mobile,Low,Open,Anti-Militants,None,8Kg,26/06/2012,2012,FATA,352,2,3,,5,1,304,1,5,70.1455,32.9746,23.33,30.249,0.228
9,9,9,01/09/2010,2010,Pakistan,03/09/2010,2010,Working Day,,NA,Mardan,KPK,Religious,Medium,Closed,Religious,None,NA,09/09/2010,2010,FATA,274,,1,,4,1,157,1,6,70.1455,32.9746,22.25,26.11,0.208
12,12,12,01/12/2012,2012,Pakistan,05/12/2012,2012,Working Day,,6:30AM,South waziristan,FATA,Military,High,Open,Military,None,,01/12/2012,2012,FATA,367,2,3,20,25,1,325,3,4,69.9,33.0333,5.28,11.541,0.208
7,7,7,01/07/2009,2009,Pakistan,08/07/2009,2009,Working Day,,3:00am,Peshawar,KPK,Market,Low,Open,Police,None,20 Kg,08/07/2009,2009,FATA,185,,1,2,5,1,70,1,60,69.9,33.0333,26.815,30.551,0.263
12,12,12,01/12/2009,2009,Pakistan,02/12/2009,2009,Working Day,,1:30:00 PM,Islamabad,Capital,Military,High,Open,Military,None,12Kg,26/12/2009,2009,FATA,224,,2,10,18,1,95,1,13,70.1455,32.9746,3.46,11.959,0.179
8,8,8,01/08/2008,2008,Pakistan,21/08/2008,2008,Working Day,,2:37:00 PM,Rawalpindi,Punjab,Military,High,Closed,Government Official,None,NA,13/08/2008,2008,FATA,114,70,100,67,200,2,18,1,20,69.9,33.0333,26.855,28.229,0.258
11,11,11,01/11/2012,2012,Pakistan,19/11/2012,2012,Working Day,,,Mohmand Agency,FATA,Mobile,Low,Open,Government Official,None,NA,29/11/2012,2012,FATA,361,0,0,3,4,1,324,1,4,70.1455,32.9746,5.07,16.909,0.36
12,12,12,01/12/2010,2010,Pakistan,10/12/2010,2010,Working Day,,4:00:00 PM,Hangu,KPK,Hospital,Low,Closed,civilian,None,400 KG,14/12/2010,2010,FATA,288,10,17,16,30,1,200,1,4,70.1455,32.9746,7.24,10.46,0.236
3,3,3,01/01/2011,2011,Pakistan,31/01/2011,2011,Working Day,,Morning,Peshawar,KPK,Mobile,High,Open,Police,None,7Kg,23/01/2011,2011,FATA,888,15,21,42,48,3,639,3,13,210.4365,98.9238,6.825,27.498,0.762
3,3,3,01/03/2010,2010,Pakistan,13/03/2010,2010,Working Day,,9:15:00 AM,Swat,KPK,Police,High,Open,Police,None,14 kg,21/03/2010,2010,FATA,252,14,17,52,60,1,119,1,8,70.1455,32.9746,18.455,21.344,0.365
6,6,6,01/03/2010,2010,Pakistan,12/03/2010,2010,Working Day,,12:45:00 PM,Lahore,Punjab,Military,High,Open,Military,Sunni,12 kg,16/03/2010,2010,FATA,502,86,114,180,200,4,231,2,17,140.291,65.9492,30.6,42.688,0.73
9,9,9,01/09/2009,2009,Pakistan,18/09/2009,2009,Working Day,,10:00 AM,Kohat,KPK,Market,Low,Open,Civilian,None,150 kg,09/09/2009,2009,FATA,198,30,37,50,60,1,78,1,10,69.9,33.0333,20.8,27.295,0.167
11,11,11,01/11/2008,2008,Pakistan,11/11/2008,2008,Working Day,,NA,Peshawar,KPK,Park/Ground,Low,Open,Government Official,None,7 or 8Kg,22/11/2008,2008,FATA,136,3,4,13,20,1,40,1,5,70.1455,32.9746,8.75,16.505,0.205
